FamilyID	Metridia.pacifica<54>	Metridia.lucens<55>	Metridia.longa<56>	Pleuromamma.robusta<57>	Pleuromamma.xiphias<58>	Pleuromamma.abdominalis<59>	Pseudocalanus.sp<60>	Euchaetidae.sp<61>	Calanoides.acutus<62>	Calanoides.carinatus<63>	Neocalanus.cristatus<64>	Neocalanus.flemingeri<65>	Neocalanus.plumchrus<66>	Calanus.hyperboreus<67>	Calanus.propinquus<68>	Calanus.finmarchicus<69>	Calanus.glacialis<70>	Calanus.marshallae<71>	Calanus.helgolandicus<72>	Calanus.sinicus<73>	Calanus.pacificus<74>	Rhincalanus.gigas<75>	Eucalanus.bungii<76>	Eucalanus.hyalinus<77>	Pseudodiaptomus.annandalei<78>	Gigantodiaptomus.amblyodon<79>	Eurytemora.affinis<80>	Eurytemora.carolleeae<81>	Temora.stylifera<82>	Temora.longicornis<83>	Acartia.fossae<84>	Acartia.clausii<85>	Acartia.tonsa<86>	Labidocera.madurae<87>	Tracheliastes.polycolpus<88>	Lepeophtheirus.salmonis<89>	Caligus.confusus<90>	Caligus.clemensi<91>	Caligus.rogercresseyi<92>	Eucyclops.serrulatus<93>	Apocyclops.royi<94>	Lernaea.cyprinacea<95>	Paracyclopina.nana<96>	Oithona.similis<97>	Oithona.nana<98>	Platychelipus.littoralis<99>	Tisbe.furcata<100>	Tigriopus.kingsejongensis<101>	Tigriopus.californicus<102>	Tigriopus.japonicus<103>	Amphibalanus.amphitrite<104>	Penaeus.aztecus<105>	Drosophila.melanogaster<106>	<107>	<159>	<160>	<161>	<162>	<163>	<164>	<165>	<166>	<167>	<168>	<169>	<170>	<171>	<172>	<173>	<174>	<175>	<176>	<177>	<178>	<179>	<180>	<181>	<182>	<183>	<184>	<185>	<186>	<187>	<188>	<189>	<190>	<191>	<192>	<193>	<194>	<195>	<196>	<197>	<198>	<199>	<200>	<201>	<202>	<203>	<204>	<205>	<206>	<207>	<208>	<209>
OG0000769	0.221373	0.368387	0.85438	0.826905	0.779888	0.427924	0.387201	0.115941	0.580567	0.739609	0.387201	0.136875	0.415767	0.0820102	0.415767	0.907365	0.533981	0.70815	0.0194383	0.136875	0.322269	0.115941	0.0215029	0.200635	0.00505776	0.124759	0.162638	0.826905	0.368387	0.584733	0.297733	0.826905	0.826905	0.826905	0.826905	0.427924	0.779888	0.0933527	0.779888	0.779888	0.427924	0.00254819	0.0324674	0.423963	0.423963	0.000227011	0.221373	0.368387	0.826905	0.162638	0.00679503	0.0131294	0.423963	N/A	0.804955	0.872148	0.628895	0.85438	0.85438	0.584733	0.522281	0.423963	0.468249	0.504209	0.901373	0.533981	0.559077	0.907365	0.725212	0.533981	0.296185	0.463142	0.907365	0.907365	0.725212	0.559077	0.739609	0.504209	0.387201	0.661847	0.423963	0.628895	0.584733	0.85438	0.85438	0.584733	0.826905	0.826905	0.628895	0.584733	0.522281	0.779888	0.779888	0.368387	0.872148	0.872148	0.0526986	0.628895	0.368387	0.162803	0.153143	0.85438	0.584733	0.804955	0.872148
OG0000770	0.272546	0.423963	0.423963	0.584733	0.468249	0.200635	0.235564	0.687501	0.0258383	0.00140892	0.296185	0.70815	0.901373	0.267372	0.504209	0.584733	0.872148	0.423963	0.427924	0.779888	0.0249171	0.221373	0.200635	0.468249	0.00679503	0.0526986	0.368387	0.584733	2.93146e-10	0.000533133	0.826905	0.779888	0.0433765	0.85438	0.427924	0.0433765	0.368387	0.368387	0.85438	0.0433765	0.779888	0.00254819	0.427924	0.779888	0.779888	4.05861e-05	0.267372	0.872148	0.427924	0.427924	0.0142825	0.221373	0.0160159	N/A	0.740424	0.297733	0.85438	0.368387	0.872148	0.85438	0.122997	0.368387	0.872148	0.162803	0.894011	0.504209	0.267372	0.901373	0.533981	0.725212	0.901373	0.70815	0.354437	0.628895	0.368387	0.872148	0.0526986	0.628895	0.122997	0.872148	0.872148	0.872148	0.628895	0.872148	0.162803	0.628895	0.584733	0.522281	0.826905	0.522281	0.779888	0.0933527	0.85438	0.0834312	0.628895	0.368387	0.0526986	0.221373	0.779888	0.00679503	0.440881	0.180289	0.0526986	0.740424	0.297733
OG0000775	0.0110845	0.205901	0.533981	0.368387	0.690111	0.690111	0.153143	0.00890738	0.0883767	0.205901	0.739609	0.196033	0.920327	0.296185	0.884643	0.162638	0.826905	0.297733	0.162638	0.033565	0.522281	0.504209	0.124759	0.0385015	0.584733	0.85438	0.427924	0.779888	0.522281	0.00721998	0.0011925	0.427924	0.779888	0.162638	0.826905	0.522281	0.162803	0.00505776	0.0215029	0.0168103	0.000533133	0.0010497	0.0324674	0.235564	0.235564	0.427924	0.779888	0.208386	0.779888	0.427924	0.162803	0.628895	0.423963	N/A	0.804955	0.872148	0.872148	0.093406	0.533981	0.628895	0.0324674	0.872148	0.423963	0.468249	0.894011	0.504209	0.533981	0.533981	0.559077	0.322269	0.907365	0.205901	0.316566	0.584733	0.826905	0.584733	0.826905	0.468249	0.687501	0.628895	0.85438	0.584733	0.522281	0.826905	0.826905	0.826905	0.297733	0.221373	0.628895	0.584733	0.826905	0.0834312	0.423963	0.85438	0.368387	0.093406	0.70815	0.628895	0.0618588	0.221373	0.779888	0.779888	0.779888	0.804955	0.872148
OG0000776	0.872148	0.00254819	0.0433765	0.427924	0.0142825	0.85438	0.427924	0.779888	1.30443e-14	9.4438e-05	0.162638	2.76089e-05	0.00286507	0.000533133	3.12444e-06	0.0661969	6.41479e-09	0.00447863	0.0406833	0.273103	0.000123871	0.0385015	0.00261812	0.00505776	0.5	0.5	0.690111	0.273852	0.033565	0.826905	0.690111	0.0216051	0.273852	0.273852	0.273852	0.690111	0.690111	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0130802	0.427924	0.273852	N/A	0.611947	0.101556	0.779888	0.779888	0.0130802	0.779888	0.0933527	0.779888	0.0933527	0.85438	0.221373	0.122997	0.0385015	0.661847	0.272546	0.297733	0.162803	4.92631e-08	0.71984	0.725629	0.116931	0.944171	0.000342891	0.122997	0.884643	0.427924	0.273852	0.690111	0.690111	0.690111	0.0216051	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.273852	0.273852	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.611947	0.101556
OG0000779	0.923566	0.107678	0.907365	0.70815	0.916634	0.0820102	0.272546	0.0249171	0.00123389	0.0215029	0.0526986	1.44038e-10	0.0194383	0.124759	0.367446	0.794986	0.358177	0.0577999	3.94235e-05	0.345925	2.82146e-06	0.826905	0.826905	0.0834312	0.690111	0.273852	0.690111	0.101556	0.00459628	0.690111	0.690111	0.5	0.5	0.273852	0.273852	0.273852	0.690111	0.273852	0.690111	0.690111	0.273852	0.690111	0.690111	0.690111	0.690111	0.0216051	0.690111	0.690111	0.690111	0.690111	0.273852	0.690111	0.690111	N/A	0.611947	0.101556	0.00338873	0.0743578	0.0883767	0.200635	0.115941	0.779888	0.208386	0.297733	0.368387	0.368387	0.423963	0.872148	0.872148	0.0249171	0.423963	0.00505776	0.0948047	0.931324	0.665523	0.145639	0.00360209	0.826905	0.826905	0.427924	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.273852	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.690111	0.611947	0.690111
OG0000786	0.584733	0.122997	0.522281	0.272546	0.0883767	0.559077	0.0139082	0.000437031	0.180289	0.267372	0.912369	0.0086228	0.0258383	0.916634	0.630142	0.0309874	0.00214621	3.8854e-05	0.354437	0.687501	0.0728186	0.162803	0.162638	0.826905	0.297733	0.522281	0.826905	0.297733	0.0834312	0.522281	0.427924	0.208386	0.0433765	0.297733	0.273852	0.690111	0.208386	0.779888	0.427924	0.0160159	0.000152673	0.779888	0.690111	0.690111	0.690111	0.208386	0.690111	0.690111	0.690111	0.690111	0.5	0.5	2.76089e-05	N/A	0.77776	0.85438	0.85438	0.584733	0.297733	0.368387	0.0249171	0.85438	0.368387	0.162803	0.504209	0.504209	0.901373	0.267372	0.912369	0.912369	0.580567	0.345925	0.630142	0.120501	0.569147	0.78061	0.0198505	0.872148	0.272546	0.584733	0.826905	0.826905	0.826905	0.826905	0.826905	0.826905	0.522281	0.779888	0.221373	0.427924	0.690111	0.101556	0.779888	0.779888	0.779888	0.779888	0.208386	0.427924	0.690111	0.779888	0.427924	0.690111	0.690111	0.77776	0.00286507
OG0000787	0.0433765	0.0130802	0.208386	0.826905	0.522281	0.033565	0.0415823	0.440881	0.545305	0.00579304	0.296185	0.628895	0.272546	0.0370854	0.0157323	0.00317948	0.42168	0.42168	6.73244e-09	0.0834583	4.88387e-13	0.0249171	0.779888	0.427924	0.0933527	0.427924	0.779888	0.208386	0.690111	0.690111	0.690111	0.5	0.5	0.101556	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.273852	0.690111	0.690111	0.0130802	0.427924	0.208386	0.779888	0.779888	0.690111	0.273852	0.273852	N/A	0.611947	0.101556	0.779888	0.779888	0.779888	0.208386	0.826905	0.208386	0.0834312	0.0249171	0.559077	0.136875	0.0948047	0.920327	0.273103	0.0560031	0.367446	0.517089	0.0948047	0.198355	0.196033	0.0012819	0.00545233	0.872148	0.0526986	0.522281	0.779888	0.779888	0.779888	0.427924	0.690111	0.690111	0.690111	0.273852	0.690111	0.273852	0.5	0.5	0.5	0.690111	0.690111	0.273852	0.5	0.690111	0.690111	0.101556	0.779888	0.779888	0.779888	0.611947	0.690111
OG0000790	0.214093	0.630142	0.912369	0.354437	0.157336	0.912369	0.00328512	0.00020645	0.894011	0.504209	0.0526986	0.00219633	0.354437	0.70815	0.157336	0.687501	0.354437	0.504209	0.153143	0.894011	5.86498e-05	2.05652e-05	0.000533133	0.235564	0.826905	0.522281	0.779888	0.779888	0.0834312	0.522281	0.779888	0.779888	0.779888	0.779888	0.690111	0.690111	0.101556	0.690111	0.690111	0.208386	0.427924	0.00721998	0.690111	0.690111	0.690111	0.208386	0.779888	0.690111	0.690111	0.690111	0.779888	0.0433765	0.297733	N/A	0.740424	0.0834312	0.162803	0.0949108	0.157336	0.894011	0.0949108	0.872148	0.093406	0.901373	0.533981	0.70815	0.894011	0.894011	0.354437	0.162803	0.504209	0.267372	0.912369	0.229884	0.894011	0.157336	0.0198505	0.115941	0.122446	0.272546	0.826905	0.522281	0.779888	0.779888	0.208386	0.779888	0.779888	0.779888	0.522281	0.427924	0.690111	0.690111	0.690111	0.779888	0.779888	0.208386	0.522281	0.427924	0.690111	0.779888	0.779888	0.427924	0.690111	0.740424	0.522281
OG0000793	0.884643	0.884643	0.628895	0.0433911	9.12318e-05	0.351755	0.000531908	1.33543e-10	0.661847	0.468249	0.504209	0.894011	0.687501	0.687501	0.0883767	0.296185	0.70815	0.70815	0.687501	0.687501	0.559077	0.00583117	0.0215029	0.468249	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.00206853	0.522281	0.779888	0.690111	0.690111	0.690111	0.000349897	0.826905	0.826905	0.779888	0.427924	0.0160159	0.000152673	0.0433765	N/A	0.687834	0.208386	0.0834312	0.872148	0.423963	0.093406	3.64705e-07	0.826905	0.00721998	0.504209	0.0709736	0.70815	0.687501	0.894011	0.894011	0.894011	0.894011	0.235564	0.907365	0.907365	0.725212	0.907365	0.415767	0.235564	0.205901	0.0160159	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.779888	0.0433765	0.5	0.5	0.5	0.779888	0.779888	0.779888	0.208386	0.427924	0.690111	0.0933527	0.584733	0.826905	0.522281	0.687834	0.208386
OG0000796	0.368387	0.85438	0.85438	0.884643	0.115941	0.70815	0.153143	0.235564	0.580567	0.322269	0.687501	0.504209	0.894011	0.894011	0.504209	0.661847	0.504209	0.687501	0.628895	0.872148	0.0541318	0.0949108	0.316566	0.884643	0.0834312	0.162638	0.584733	0.85438	0.200635	0.468249	0.690111	0.101556	0.273852	0.297733	0.427924	0.427924	0.208386	0.779888	0.427924	0.273852	0.690111	0.00110736	0.826905	0.826905	0.826905	0.0110583	0.628895	0.584733	0.423963	0.628895	6.74166e-08	0.205901	0.00286507	N/A	0.77776	0.368387	0.872148	0.628895	0.85438	0.423963	0.200635	0.872148	0.423963	0.468249	0.894011	0.504209	0.267372	0.70815	0.894011	0.894011	0.894011	0.894011	0.894011	0.687501	0.468249	0.894011	0.354437	0.468249	0.687501	0.628895	0.584733	0.85438	0.85438	0.85438	0.122997	0.584733	0.162638	0.690111	0.584733	0.522281	0.779888	0.779888	0.779888	0.297733	0.85438	0.368387	0.0131294	0.584733	0.826905	0.122997	0.661847	0.628895	0.368387	0.77776	0.00596078
