FamilyID	Metridia.pacifica<54>	Metridia.lucens<55>	Metridia.longa<56>	Pleuromamma.robusta<57>	Pleuromamma.xiphias<58>	Pleuromamma.abdominalis<59>	Pseudocalanus.sp<60>	Euchaetidae.sp<61>	Calanoides.acutus<62>	Calanoides.carinatus<63>	Neocalanus.cristatus<64>	Neocalanus.flemingeri<65>	Neocalanus.plumchrus<66>	Calanus.hyperboreus<67>	Calanus.propinquus<68>	Calanus.finmarchicus<69>	Calanus.glacialis<70>	Calanus.marshallae<71>	Calanus.helgolandicus<72>	Calanus.sinicus<73>	Calanus.pacificus<74>	Rhincalanus.gigas<75>	Eucalanus.bungii<76>	Eucalanus.hyalinus<77>	Pseudodiaptomus.annandalei<78>	Gigantodiaptomus.amblyodon<79>	Eurytemora.affinis<80>	Eurytemora.carolleeae<81>	Temora.stylifera<82>	Temora.longicornis<83>	Acartia.fossae<84>	Acartia.clausii<85>	Acartia.tonsa<86>	Labidocera.madurae<87>	Tracheliastes.polycolpus<88>	Lepeophtheirus.salmonis<89>	Caligus.confusus<90>	Caligus.clemensi<91>	Caligus.rogercresseyi<92>	Eucyclops.serrulatus<93>	Apocyclops.royi<94>	Lernaea.cyprinacea<95>	Paracyclopina.nana<96>	Oithona.similis<97>	Oithona.nana<98>	Platychelipus.littoralis<99>	Tisbe.furcata<100>	Tigriopus.kingsejongensis<101>	Tigriopus.californicus<102>	Tigriopus.japonicus<103>	Amphibalanus.amphitrite<104>	Penaeus.aztecus<105>	Drosophila.melanogaster<106>	<107>	<159>	<160>	<161>	<162>	<163>	<164>	<165>	<166>	<167>	<168>	<169>	<170>	<171>	<172>	<173>	<174>	<175>	<176>	<177>	<178>	<179>	<180>	<181>	<182>	<183>	<184>	<185>	<186>	<187>	<188>	<189>	<190>	<191>	<192>	<193>	<194>	<195>	<196>	<197>	<198>	<199>	<200>	<201>	<202>	<203>	<204>	<205>	<206>	<207>	<208>	<209>
OG0000039	25	14	21	8	45	31	18	25	70	74	53	57	40	78	55	68	91	22	16	11	54	35	10	44	10	2	13	10	15	13	8	11	5	16	5	4	5	0	2	0	12	3	23	6	6	17	3	10	15	14	9	6	1	7	8	13	16	19	19	17	30	16	25	31	24	49	64	54	52	49	62	56	51	57	54	41	20	28	26	12	8	12	12	12	13	12	9	8	7	5	4	4	2	8	8	5	5	11	7	10	8	10	13	6	7
OG0000040	44	23	21	30	44	42	16	47	35	43	17	38	22	17	24	30	33	21	19	31	32	21	11	20	18	6	19	18	24	12	21	14	7	27	10	15	14	26	13	14	15	38	15	15	15	16	9	29	25	22	17	17	33	23	21	22	26	25	30	31	39	20	22	26	28	28	35	24	22	27	22	24	27	28	27	28	26	20	17	17	13	18	18	19	18	21	18	13	17	14	15	15	17	17	18	23	17	16	15	16	15	22	23	24	19
OG0000042	22	13	19	7	68	38	16	51	25	61	42	37	38	33	32	32	53	20	14	20	37	22	15	23	22	8	26	16	26	18	12	12	0	18	15	16	22	14	13	8	13	18	13	12	12	16	7	22	18	14	33	3	21	18	18	19	19	19	18	20	40	20	23	29	30	34	38	35	38	38	33	32	31	32	34	29	20	22	20	18	16	19	20	18	20	16	12	8	16	16	17	18	15	15	14	14	12	13	12	14	12	16	16	18	17
OG0000048	18	4	6	6	8	8	8	25	70	47	72	65	50	51	54	63	88	40	16	18	68	58	12	21	6	5	4	4	7	5	6	5	3	3	5	6	7	5	4	18	21	11	12	19	18	13	19	15	15	17	0	2	0	3	5	7	7	7	8	7	8	11	23	28	20	44	53	52	60	58	52	53	53	59	61	48	25	31	21	7	6	5	4	5	6	4	5	4	7	6	6	6	5	11	13	13	17	14	17	13	16	16	16	1	1
OG0000050	22	23	26	26	80	65	34	50	14	42	13	11	27	20	24	24	17	17	7	20	23	20	17	13	24	14	7	8	48	10	12	6	2	16	6	7	16	20	20	19	24	48	10	13	11	54	12	18	9	11	8	2	4	10	13	19	26	25	23	35	59	19	21	26	36	24	25	21	17	18	21	22	21	21	18	20	15	19	16	17	18	14	9	16	21	14	10	6	14	10	10	14	18	21	21	29	24	14	13	28	18	16	12	7	6
OG0000051	31	13	15	14	35	35	17	46	11	31	16	17	22	21	27	26	24	17	7	22	16	13	8	24	29	7	20	24	34	31	28	23	8	19	10	23	17	29	23	2	24	31	41	16	15	19	2	24	15	25	24	1	20	17	17	18	19	18	20	20	30	18	18	21	26	20	20	20	18	19	21	23	21	23	21	17	15	15	15	19	18	22	22	24	29	22	22	17	17	15	19	20	24	18	22	23	16	26	19	16	12	18	19	17	14
OG0000052	22	31	41	30	27	39	44	57	26	48	33	29	29	35	33	27	49	38	13	36	50	37	16	21	16	10	9	12	56	11	11	5	3	18	6	4	6	22	7	8	2	12	3	4	4	12	4	3	4	4	14	3	5	9	10	18	26	31	28	29	31	20	27	35	45	35	36	34	32	30	34	34	35	34	40	37	28	28	21	16	14	15	12	18	24	15	10	5	8	7	6	7	10	7	6	8	6	4	4	8	5	4	4	8	8
OG0000053	40	44	41	27	92	87	17	33	34	15	45	50	26	31	29	44	89	26	16	41	34	42	28	16	4	1	2	2	5	3	3	2	3	1	1	4	9	6	6	7	7	6	7	8	8	3	11	9	8	9	0	1	2	4	6	15	30	37	40	40	72	13	21	24	24	27	25	32	38	37	32	32	36	43	49	33	29	28	24	5	3	3	2	3	3	2	2	2	5	3	4	6	6	5	6	6	7	7	8	5	8	8	8	2	1
OG0000054	27	25	24	14	65	37	18	30	45	46	31	30	14	40	56	71	68	24	11	13	43	23	5	16	23	8	15	11	42	25	4	3	1	28	1	1	4	3	1	4	4	7	7	6	7	32	7	6	6	7	23	11	4	10	10	15	20	23	25	23	40	17	20	25	24	33	41	34	29	24	40	47	45	54	48	35	18	18	13	16	15	17	14	21	28	18	6	3	7	2	2	2	2	9	7	6	5	7	7	14	9	7	7	9	13
OG0000055	29	22	14	16	34	37	13	35	35	57	40	36	30	35	28	48	49	19	13	14	42	21	8	16	26	8	19	17	19	10	12	11	1	24	9	10	8	8	13	4	12	32	13	14	13	37	6	9	20	12	5	3	6	9	11	15	18	18	23	21	30	17	20	25	24	33	41	34	36	34	33	31	33	38	35	30	18	18	14	17	16	17	18	16	15	17	12	8	12	10	10	9	10	16	16	18	11	14	14	20	12	12	14	7	5
